model,epoch,vs_baseline_wins,vs_baseline_total,vs_baseline_winrate,vs_random_wins,vs_random_total,vs_random_winrate,vs_prev_wins,vs_prev_total,vs_prev_winrate,elo_rating,elo_smooth,baseline_smooth,random_smooth,prev_smooth
20251014_1113-EXP_id03_epoch_0000,0,625,50,1250.0,625,50,1250.0,625,50,1250.0,422.7575524039911,422.7575524039911,1250.0,1250.0,1250.0
20251005_2118-EXP_id03_epoch_0000,0,625,50,1250.0,675,50,1350.0,625,50,1250.0,423.10048022621453,422.9290163151028,1250.0,1300.0,1250.0
20250930_0921-EXP_id03_epoch_0000,0,625,50,1250.0,525,50,1050.0,0,0,0.0,415.8158257405153,420.55795279024034,1250.0,1216.6666666666667,833.3333333333334
20251007_0638-EXP_id03_epoch_0001,1,625,50,1250.0,700,50,1400.0,625,50,1250.0,422.09749094110555,420.3379323026118,1250.0,1266.6666666666667,833.3333333333334
20250930_1009-EXP_id03_epoch_0001,1,625,50,1250.0,650,50,1300.0,625,50,1250.0,422.42320842919116,420.11217503693734,1250.0,1250.0,833.3333333333334
20251012_0958-EXP_id03_epoch_0002,2,625,50,1250.0,650,50,1300.0,625,50,1250.0,421.1719467817119,421.8975487173362,1250.0,1333.3333333333333,1250.0
20250930_1955-EXP_id03_epoch_0002,2,625,50,1250.0,750,50,1500.0,625,50,1250.0,421.4719091365869,421.68902144916336,1250.0,1366.6666666666667,1250.0
20250925_1838-EXP_id03_epoch_0002,2,625,50,1250.0,725,50,1450.0,625,50,1250.0,421.78040229387915,421.47475273739263,1250.0,1416.6666666666667,1250.0
20251006_2217-EXP_id03_epoch_0003,3,625,50,1250.0,550,50,1100.0,625,50,1250.0,420.59722347191234,421.28317830079277,1250.0,1350.0,1250.0
20250930_0921-EXP_id03_epoch_0003,3,625,50,1250.0,575,50,1150.0,1250,50,2500.0,420.8804233223755,421.0860163627223,1250.0,1233.3333333333333,1666.6666666666667
20250922_1203-EXP_id03_epoch_0004,4,625,50,1250.0,625,50,1250.0,1250,50,2500.0,420.3222121105616,420.5999529682831,1250.0,1166.6666666666667,2083.3333333333335
20250930_1017-EXP_id03_epoch_0004,4,625,50,1250.0,675,50,1350.0,625,50,1250.0,420.0552375332586,420.419290988732,1250.0,1250.0,2083.3333333333335
20251012_0959-EXP_id03_epoch_0004,4,625,50,1250.0,700,50,1400.0,625,50,1250.0,419.79613439989424,420.05786134790486,1250.0,1333.3333333333333,1666.6666666666667
20250930_0921-EXP_id03_epoch_0005,5,1250,50,2500.0,825,50,1650.0,1250,50,2500.0,419.5447263951605,419.7986994427711,1666.6666666666667,1466.6666666666667,1666.6666666666667
20251006_2217-EXP_id03_epoch_0005,5,1250,50,2500.0,775,50,1550.0,625,50,1250.0,419.30082860941695,419.5472298014906,2083.3333333333335,1533.3333333333333,1666.6666666666667
20250930_1956-EXP_id03_epoch_0006,6,1250,50,2500.0,700,50,1400.0,625,50,1250.0,418.8347935352585,419.22678284661197,2500.0,1533.3333333333333,1666.6666666666667
20251014_1114-EXP_id03_epoch_0006,6,1250,50,2500.0,700,50,1400.0,625,50,1250.0,418.61226128203793,418.9159611422378,2500.0,1450.0,1250.0
20250925_1838-EXP_id03_epoch_0006,6,1250,50,2500.0,800,50,1600.0,1250,50,2500.0,419.0642496550992,418.8371014907986,2500.0,1466.6666666666667,1666.6666666666667
20251007_0638-EXP_id03_epoch_0007,7,1250,50,2500.0,825,50,1650.0,625,50,1250.0,418.1871660167759,418.6212256513043,2500.0,1550.0,1666.6666666666667
20250930_1009-EXP_id03_epoch_0007,7,1250,50,2500.0,900,50,1800.0,625,50,1250.0,418.39645238344235,418.54928935177253,2500.0,1683.3333333333333,1666.6666666666667
